Journal title,ISSNs,Number of mentioned outputs,Total mentions,Tweets
Journal of Sex Research,"0022-4499, 1559-8519",99,2606,2105
Sex Roles,"0360-0025, 1573-2762",80,1710,1437
"Gender, Place &amp; Culture","0966-369X, 1360-0524",75,457,449
Biology of Sex Differences,2042-6410,46,477,376
Politics & Gender,"1743-923X, 1743-9248",32,156,122
Psychology of Women Quarterly,"0361-6843, 1471-6402",31,499,381
International Feminist Journal of Politics,"1461-6742, 1468-4470",29,248,234
Psychology of Men & Masculinity,"1524-9220, 1939-151X",27,171,134
Gender & Society,"0891-2432, 1552-3977",27,1148,1062
"Social Politics: International Studies in Gender, State & Society","1468-2893, 1072-4745",3,9,8
