Journal title,ISSNs,Number of mentioned outputs,Total mentions,Tweets
"Palaeogeography, Palaeoclimatology, Palaeoecology",0031-0182,279,1321,1057
JOURNAL OF GEOPHYSICAL RESEARCH: SPACE PHYSICS,"2169-9380, 2169-9402",155,706,395
Ocean Science,"1812-0784, 1812-0792",145,445,411
Climate of the Past,"1814-9324, 1814-9332",133,800,771
Journal of Vertebrate Paleontology,"0272-4634, 1937-2809, 0272-4633",113,2706,2053
Paleobiology,"0094-8373, 1938-5331, 0094-8372",85,487,339
Journal of Quaternary Science,"0267-8179, 1099-1417",53,428,330
Palaeontology,"0031-0239, 1475-4983",51,1657,1442
Journal of Systematic Palaeontology,"1477-2019, 1478-0941",50,840,714
Journal of Geophysical Research,"0148-0227, 2156-2202, 1934-8592",11,27,25
