Positive	Negative	Text
2	-1	Washing men's feet gender, care and migration in Albania during and after communism [3798508]
2	-1	Washing men's feet gender, care and migration in Albania during and after communism, J Vullnetari and R King [3798508]
1	-1	Study The "New Father" and marked changes in perceptions of men's parenting roles over time [3831803]
1	-1	"Mothers and fathers were viewed as becoming more alike from the past to the present and continuing into the [3831803]
1	-1	Modern and future dads are perceived as much more 'maternal' in personality and behavior than 1950's dads masculinity [3831803]
1	-1	Fathers viewed as becoming increasingly maternal in their parenting roles and traits [3831803]
1	-1	New on | Where Women Rebel | [3859732]
1	-1	My IFJP article "Where Women Rebel"--now ungated through April 2016 [3859732]
2	-1	My new article in IFJP is live! It's also soon-to-be-ungated So if you don't have access now, you will soon [3859732]
1	-1	Compare the NYT profile with my findings here Women's involvement with IS is very much in line with global trends [3859732]
1	-3	Punished for feminism? Men who do feminist activism are subjected to more sexual harassment in the workplace [3928626]
1	-1	An understudied topic new study on Sexual Harassment Against Men [3928626]
1	-3	New workplace sexual harassment of men "punishment for men who deviate fm prescriptions of traditional masculinity" [3928626]
1	-1	Link to study SexualHarassment [3928626]
1	-3	Men are sexually harassed by women in the workplace too sexualharassment [3928626]
1	-3	Study Both hetero and homosexual men reported similar levels of sexual harassment by women [3928626]
2	-1	How do young people 'do' gender and safety on a night out? New ARCSHS research by [4644935]
1	-1	Does the Motherhood WagePenalty Differ by Individual Skill and Country FamilyPolicy? Europe [4737506]
1	-1	Does the Motherhood Wage Penalty Differ by Individual Skill and Country Family Policy? A Longitudinal Study of Ten [4737506]
2	-2	Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise [4949436]
2	-2	Differences in confidence in expertise and discomfort with editing partly explain gender gap in Wikipedia contribution [4949436]
2	-2	Differences in confidence in expertise and discomfort with editing partly explain gender gap in Wikipedia contribution ht [4949436]
1	-1	New publication  springerlink [4949436]
2	-2	confidence in expertise and discomfort with editing linked to a smaller number of women(vs men) writing in wikipedia [4949436]
1	-1	Understanding the Different Psychological Experiences of Men and Women in Wikipedia [4949436]
1	-1	Where are the women in Wikipedia? Understanding the different psychological experiences gender wikipedia [4949436]
1	-1	3 Compare this (open access) [4949436]
1	-1	If you require highered students to edit Wikipedia, are the men or women more likely to benefit?  ITTSII16 [4949436]
1	-1	Effects of diversity (costs of affirmative action not fully accounted for)  "Case study" [6156712,4949436]
1	-1	Only 13% of Wikipedia contributors are women Pathetic women?  Try the adjusted wage gap [4949436]
3	-1	That's pretty interesting Cf Wikipedia entries [4949436]
1	-1	Incidentally, Wiki-women [4949436]
1	-1	Compare [4949436]
1	-1	1 Go thru bar on the right [4949436]
1	-2	- Consider "Wikipedia entrepreneurship", easy "market" access, no funding problems [4538619,4949436]
1	-1	2 Applies to comedy [4949436]
1	-1	Here, build sth w/ these four [4538619,1093697,4949436]
1	-1	2 These two provide further perspective [4949436]
1	-1	2 Or just absorve how it works out when single men and women pursue preferences and compete [4949436]
1	-1	4 Read on [4538619,1093697,4949436,3085925]
1	-3	1 Why did other professions fail at that? Also compare this [4949436]
1	-1	Using the Dual Control Model to Study the Rel'p b/w Mood, Genital @  Self-Reported Sexual Arousal in Men and Women [4956008]
1	-1	Using the Dual Control Model to Study the Rel'p b/w Mood, Genital @  Self-Reported Sexual Arousal in Men and Women htt [4956008]
3	-1	Feeling vigorous X being prone to sexual excitement predicts genital arousal in women and subjective arousal in men [4956008]
1	-2	For gays in China, effect found for left-handedness but not fraternal birth order-small  of siblings to blame? [4956476]
1	-1	Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population [a] LGBT LGBTQ [4956476]
1	-2	Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population [a] LGBT LGBTQ queer [4956476]
1	-1	"proportion of women n scientific field = more similar stereotypes of scientists n field were to those about women" [4966609]
3	-1	On the similarity between stereotypes about women / men and stereotypes about successful scientists womeninscience [4966609]
3	-1	On the similarity between stereotypes about women / men and stereotypes about successful scientists [4966609]
1	-3	Prof Linda Carli's research stereotypes about women may lead to discrimination in STEM IWD2016 PLEDGEFORPARITY [4966609]
1	-1	Stereotypes About Gender and Science [4966609]
1	-1	How do gender stereotypes influence womens persistent underrepresentation in STEM? STEM WomenInSTEM gendergap [4966609]
3	-2	New study shows despite more WomenInScience still perceived to lack qualities needed to be successful scientists [4966609]
3	-2	New study shows despite more WomenInScience still perceived to lack qualities needed to be successful scientists  [4966609]
3	-1	Are women less successful scientists than men? No! But stereotypes exist [4966609]
3	-1	Are women less successful scientists than men? No! But stereotypes exist    [4966609]
1	-1	Check out our interview with Linda Carli about gender stereotypes and science STEM GenderStereotypes womeninscience [4966609]
1	-1	Stereotypes About Gender and Science Women  Scientists   Psychology Gender Stereotypes [4966609]
1	-2	SAGEpsychology Stereotypes About Gender and Science Women  Scientists PWQ4U Psychology Gender Stereotypes [4966609]
1	-4	"article addresses the need for a multidimensional understanding of rape acknowledgment" (paywall)womensvoices [4966618]
1	-1	A Listening Guide Analysis of Womens Experiences of Unacknowledged Rape [4966618]
2	-1	Both sexes perform less housework in countries where public opinion supports gender equality [4973114]
2	-1	Both sexes perform less housework in countries where public opinion supports gender equality  [4973114]
2	-1	See my newest paper on gender and warbots! [4979302]
3	-1	Great piece by Heather Roff on gender and robots - Gendering a Warbot [4979302]
1	-2	Why are warbots so dangerous? Answer They could reinforce gender norms [4979302]
1	-2	Guess womyn will still have menial tasks when the transhumanists win [4979302]
1	-1	Sexology in Portugal Narratives by Portuguese Sexologists [4982430]
1	-1	"[In Portugal,] sexology is not seen as a full-fledged profession" [4982430]
1	-3	Help-seeking and needs of male victims of IPV menshealth domesticviolence [4982977]
1	-1	Military masculinity, movies, and the &ltem&gtDSM&lt/em&gt Narratives of institu Psychiatry [4984167]
1	-4	Relative influence of various forms of partner violence on the health of  Psychiatry [4984179]
1	-4	Survey any given year, 40-50% of all victims of physical partner violence are men [4984179]
1	-3	Females can be violent towards their partners by destroying property or throwing things [4984179]
1	-1	Relative Influence of Various Forms of Partner Violence on the Health of Male Victims  DV [4984179]
1	-1	The Sexual Desire Inventory Two or three dimensions? [4984977]
2	-1	Interesting commentary by   on  Camperio Ciani's article A Problematic Test of the Kin Selection Hypothesis [4984986]
2	-1	Interesting commentary by   on  Camperio Ciani's article A Problematic Test of the Kin Selection Hypothesis h [4984986]
1	-1	The role of kin selection in the evolution of male same-sex sexuality is being debated [4984986]
1	-1	A Problematic Test of the Kin Selection Hypothesis Among the Urak-Lawoi of Ko Lipe, Thailand Commentary on C [4984986]
2	-1	X and Y homolog gene expression in the human CNS during early male development  biologyofsexdifferences [4986348]
2	-1	X and Y homolog gene expression in the human CNS during early male development  biologyofsexdif [4986348]
2	-3	Spatial sexual dimorphism of X and Y homolog gene expression in the human central nervous system during early male [4986348]
1	-2	Interaction between neonatal maternal deprivation and serum leptin levels on metabolism, pubertal development, and [4992858]
1	-1	Masculinities on the verge An editorial Liu, W M Psychology of Men and Masculinity, Vol 17(1), Jan 2016, 1-2 [5008590]
1	-1	Read Dr Liu's editorial from Psychology of Men and Masculinity here [5008590]
1	-1	Maternal and Paternal Influences on Young Swedish Womens and Mens Cosmetic Surgery Acceptance cscdstats [5016608]
2	-3	Exposure to ViolentMedia leads men to feel less attractive and more anxious abt their bodies BodyImage [5021839]
1	-1	Media Violence and Male Body Image PsycNET - Display Record [5021839]
1	-1	"Media Violence and Male Body Image" [5021839]
1	-1	Book review is available ahead of print here [5037163]
1	-1	Paper "Gendertrolling A (New) Virtual Iteration of Everyday Misogyny" by Jennifer D Rubin [5037163]
1	-1	Preclinical studies of sex differences a clinical perspective [5041886]
1	-1	"Male Body Image and Visual Attention Towards Oneself and Other Men" [5048646]
1	-1	"Male body image and visual attention towards oneself and other men" Psychology of Men and Masculinity [5048646]
1	-2	Gay ("androphilic") men are on average of measurably shorter stature than others [5048680]
2	-1	tl  Hm! Well how about that [5048680]
1	-2	Are gay men shorter than straight men? [5048680]
1	-1	Sexual Orientation, Objective Height, and Self-Reported Height [5048680]
1	-1	"Gay men are shorter, on average, than straight men" in Canada But no height differences in lesbians [5048680]
1	-2	Gay men shorter on average than straight men no height difference btwn lesbian/bisexual v straight women [5048680]
1	-2	Study finds gay men to be shorter on average than straight men scratcheshead [5048680]
1	-1	Is sexual orientation related to how tall or short one is? psychology sexuality [5048680]
3	-1	Another one androphilic men and women are shorter than gynephilic men and women, respectively [5048680]
1	-1	Partner Meeting Contexts and Risky Behavior in College Students Other-Sex and Same-Sex Hookups [5053113]
1	-1	Partner Meeting Contexts and Risky Behavior in College Students Other-Sex and Same-Sex Hookups via [5053113]
1	-1	Partner Meeting Contexts and Risky Behavior in College Students' Other-Sex and Same-Sex Hookups [a] HT   sexuality [5053113]
1	-1	Partner Meeting Contexts and Risky Behavior in College Students' Other-Sex and Same-Sex Hookups [a] HT [5053113]
1	-1	A Comparison of Actual and Perceived Sexual Risk Among Older Adults [5057831]
1	-2	Fascinating article on the discrepancy between objective and perceived sexual risk-taking [5057831]
2	-1	Transmitting values from African American fathers to sons menshealth [5060908]
1	-1	Feminism, fieldwork and the military researchers incl  ,   and I talk to each other in [5061279]
1	-1	Feminism, fieldwork and the military researchers incl  ,   and I talk to each other in   ht [5061279]
1	-1	Encounters with the Military - International Feminist Journal of Politics [5061279]
1	-1	My talk re researching military as feminists w/   etc is now in print at   femsecst [5061279]
1	-1	My talk re researching military as feminists w/   etc is now in print at [5061279]
1	-1	Eprints talking bout feminist military research feat  ,  , Alex Hyde, Sarah Bulmer [5061279]
1	-4	For ppl at high risk 4 HIV due to substance abuse, HIV interventions lower rate of unprotected AnalSex [5062023]
1	-1	Heterosexual Anal Sex among Men and Women in Substance Abuse Treatment [a] HT   HIV  [5062023]
1	-1	Heterosexual Anal Sex among Men and Women in Substance Abuse Treatment [a] HT   HIV STI STD SUD [5062023]
1	-1	Where in brain is men's sexual arousal? Prefrontal cortex and amygdala--incidentally, also site of sensation-seeking [5070431]
3	-1	Great publication by my friend and fellow   alum   on masculinity and HIV care in KZN SouthAfrica [5081555]
3	-1	Great publication by my friend and fellow DukeGHI alum zissette on masculinity and H [5081555]
2	-1	New publication - male engagement in HIV care in KZN SouthAfrica and how we can use masculinity to promote care [5081555]
2	-1	DukeMScGH alum   published thesis re mens engagement in HIV care in KwaZulu-Natal, SouthAfrica [5081555]
1	-1	If You Dont Take a Stand for Your Life, Who Will Help You? Mens Engagement in HIV Care in South Africa [5081555]
2	-1	"If you don't take a stand for your life, who will help you?" Men's engagement in HIV care in KwaZulu-Natal [a] [5081555]
1	-1	New The politics of holding home and LGBT visibility in contested Jerusalem [5081758]
1	-1	The politics of holding home and LGBT visibility in contested Jerusalem, Gilly Hartal LGBTvisibility Israel [5081758]
1	-1	Both sexes found erotica depicting male, female, or no dominance at all equally arousing [5084691]
1	-1	Fifty Shades Flipped Effects of Reading Erotica Depicting a Sexually Dominant Woman vs a Sexually Dominant Man [5084691]
1	-1	Fifty Shades Flipped Effects of Reading Erotica Depicting a Sexually Dominant Woman Comprd to a Sexual Dom Man [5084691]
1	-1	Men and women equally aroused by erotica feat dominant woman as by erotica feat dominant man FemDomAllTheWay [5084691]
1	-4	How do attitudes toward women and beliefs about rape change after reading erotica ft a dominant man vs woman? [5084691]
1	-1	Fifty Shades Flipped Effects of Reading Erotica Depicting a Sexually Dominant Woman vs a Sexually Dominant Man  [5084691]
1	-1	the study [5084691]
3	-1	super interesting study I found while trying to focus on an exercise for WGS111 GenderMediaMIT [5084691]
1	-1	Academic "Fifty Shades Flipped Effects of Reading Erotica Depicting a Sexually Dominant Woman" bdsm kink [5084691]
1	-1	Academic "Fifty Shades Flipped Effects of Reading Erotica Depicting a Sexually Dominant Woman" b [5084691]
1	-1	50 Shades Flipped Effects of Reading Erotica Depicting a Sexually Dominant Woman vs Sexually Dominant Man [a] [5084691]
2	-2	Sociable men more often seen as gay than competent men, b/c "nice guys" are considered less masculine [5086459]
1	-1	Are All the Nice Guys Gay? Impact of Sociability and Competence on Social Perception of Male Sexual Orientation [5086459]
1	-1	Youyenn Teo 2016 class differentials in the elusive quest for work-life balance In Gender, Place and Culture [5086963]
1	-1	Not everyone has maids class differentials in the elusive quest for work-life balance, Youyenn Teo [5086963]
2	-2	Now out! Latest article on LGBT disaster experiences from our ARC DP [5087455]
1	-1	In the context of your visit to Hebden,   this new paper by   sprang to mind [5087455]
2	-2	Now out! Latest article on LGBT disaster experiences from our ARC DP    [5087455]
1	-2	Problems and possibilities on the margins LGBT experiences in the 2011 Queensland floods LGBT QueenslandFloods [5087455]
4	-1	Thanks to   for inviting me to review Harris and Giuffre's excellent book on women chefs [5091310]
1	-1	How is it that womengender most commonly associated with food, cookinghave lagged behind men in pro kitchens? [5091310]
1	-1	Gender equality in housework among professional Filipinas in MelbourneC P Limpangog gender filipinamigrants [5093628]
