,body,cites_papers
0,"Reward-Modulated Response Inhibition, Cognitive Shifting, and the Orbital Frontal Cortex in Early Adolescence",[2680251]
1,Mothers Goals for Adolescents in the United States and China Content and Transmission,[2751924]
2,Family Influences on Mexican American Adolescents Romantic Relationships Moderation by Gender and Culture,[2751930]
3,"Negative Stereotypes of Ethnic Outgroups A Longitudinal Examination Among Palestinian, Israeli Jewish, and Israel",[2808936]
4,"Negative Stereotypes of Ethnic Outgroups A Longitudinal Examination Among Palestinian, Israeli Jewish, and Is",[2808936]
5,"Negative Stereotypes of Ethnic Outgroups A Longitudinal Examination Among Palestinian, Israeli",[2808936]
6,The Home and the Hood Associations Between Housing and Neighborhood Contexts and Adolescent Functioning,[2864435]
7,"School Belonging, Generational Status, and Socioeconomic Effects on Mexican-Origin Children's Later Academic C",[2962255]
8,"School Belonging, Generational Status, and Socioeconomic Effects on Mexican-Origin Children's Later Academic Compe",[2962255]
9,Experiences With Parents and Youth Physical Health Symptoms and Cortisol A Daily Diary Investigation,[2977312]
10,PRI associates Susan McHale and David Almeida investigate the  association between adolescents' positive and,[2977312]
11,study Experiences With Parents and Youth Physical Health Symptoms and Cortisol A Daily Diary Investigation,[2977312]
12,"Gender, Generational Status, and ParentAdolescent Sexual Communication Implications for Latino/a Adolescent",[3049785]
13,"Gender, Generational Status, and ParentAdolescent Sexual Communication Implications for Latino/a Adolescent Sexu",[3049785]
14,Latino parents discussing sexual health consequences w/ teens predicted higher odds of intercourse 1 yr later,[3049785]
15,"Deflected Pathways Becoming Aggressive, Socially Withdrawn, or Prosocial With Peers During the Transition to",[3053140]
16,Here's my article in the issue 'Geographies of generation age restrictions in international adoption',[4072838]
17,Read about age restrictions in international adoption by   in Social and Cultural Geog scgjournal,[4072838]
18,"And a few more free views available for my new SCG article on ""matching"" parent and kid ages in int'l adoption' ",[4072838]
19,Last year I wrote an article about age restrictions on internationally adopting parents - free download here,[4072838]
20,"Powerful writing by   on living through, with, on, breastcancer in Social and Cultural Geography",[4183476]
21,Social and Cultural Geography contains a paper by my   colleague   on living on from breast cancer,[4183476]
22,Social and Cultural Geography contains a paper by my   colleague   on living on from breast cancer  ,[4183476]
23,Can anyone point me to autobiographical work by scholars on illness? So far I've read this powerful piece highered,[4183476]
24,Can anyone point me to autobiographical work by scholars on illness? So far I've read this powerful piece highered ,[4183476]
25,Books by Jackie Stacey and   on cancer are brilliant,[4183476]
26,The medical humanities community will undoubtedly have lots of ideas,[4183476]
27,"Social and Cultural Geog does care New articles by Juhila et al,","[4216920,4216922]"
28,Interesting piece on mental health home visits and the institutionalisation of domestic spaces in,[4216920]
29,"Gustavo Oliveira on ""The Geopolitics of Brazilan Soybeans""",[4269856]
30,Places and Postures A Cross-Cultural Comparison of Sitting in 5-Month-Olds - quite amazing,[4298540]
31,"The Acculturation of Parenting Cognitions A Comparison of South Korean, Korean Immigrant, and European Americ",[4514945]
32,"Lulle, A and King, R 2015 Ageing well the timespaces of possibility for older female Latvian migrants in the UK",[4557136]
33,Redesigned Taylor andFrancis group website Looks good!,[4557136]
34,Newly published piece by my doc student A grammar for black education beyond borders,[4799793]
35,Yes,[4799793]
36,The publishing machine that is   has another new paper out - in Social and Cultural Geography this time,[4966283]
37,The publishing machine that is   has another new paper out - in Social and Cultural Geography this time ,[4966283]
38,New Article Student geographies and homemaking personal belongings and identities by,[4966283]
39,Lovely paper on the micro-geographies of student accommodation Have longed for a sink in my bedroom ever since,[4966283]
40,"On student homes Just published Social and Cult Geog, by Mark Holton of   and Mark Riley scgjournal",[4966283]
41,"On student homes Just published Social and Cult Geog, by Mark Holton of   and Mark ",[4966283]
42,Out now   and Mark Riley's paper on the role of personal belongings in student geographies and homemaking,[4966283]
43,Out now   and Mark Riley's paper on the role of personal belongings in student geographies and homemaking ,[4966283]
44,My latest paper on belonging and homemaking in student bedrooms is now available in print,[4966283]
45,Student geographies and homemaking personal belongings and identities,[4966283]
46,"Newly published in Social and Cult Geog, a very timely paper on zinneke parade in Brussels by Reyskens et al",[4979580]
47,Peter Reyskens and Joke Vandenabeele use a video record of Brussels' Zinneke Parade to question urban togetherness,[4979580]
48,"To welcome all our new followers, this paper - on urban togetherness in Brussels - is free to access until Aug",[4979580]
49,"I have a new short piece online in SocandCultGeog on social media, images and cultural geog",[4997953]
50,"my new piece, part of a special issue on cultural geog now, with   among others",[4997953]
51,A call from Gillian Rose   for cultural geography to take social media seriously,[4997953]
52,Cultural geography going viral  Gillian Rose virality ANT materiality,[4997953]
53,"New in   Agrarian Classics series Anton Blok, 'The mafia of a Sicilian village, 18601960'",[4998150]
54,1st essay in the AgrarianClassics series is FreeAccess - Michael Watts on Blok's 'The mafia of a Sicilian village',[4998150]
55,1st essay in the AgrarianClassics series is FreeAccess - Michael Watts on Blok's 'The mafia of a Sicilian village' h,[4998150]
56,"The mafia of a Sicilian village, 18601960 a study of violent peasant entrepreneurs, Anton Blok",[4998150]
57,1st essay in the AgrarianClassics series FreeAccess - Michael Watts on Blok's 'The mafia of a Sicilian village',[4998150]
58,Neighborhood Qualification of the Association Between Parenting and Problem Behavior,[5000783]
59,Neighborhood Qualification of the Association Between Parenting and Problem Behavior Trajectories Among Mexican,[5000783]
60,Neighborhood Qualification of the Association Between Parenting and Pr,"[5000783,5000783]"
61,Neighborhood Qualification of the Association Between Parenting and Problem Behavior Trajectories Among,[5000783]
62,Can't beat Foucault need to read this!!,[5002409]
63,Enjoyed this article! Check out this paper via,[5002409]
64,"HIV, Viral Suppression, and New Technologies of Surveillance and Control",[5002409]
65,"HIV, Viral Suppression and New Technologies of Surveillance and Control The global response  bodyandsociety",[5002409]
66,Reading the Human Brain,[5003065]
67,"""Reading the Human Brain How the Mind Became Legible""   in Body and Society histpsych",[5003065]
68,"""Reading the Human Brain How the Mind Became Legible""   in Body and Society histp",[5003065]
69,"""Reading the Human Brain How the Mind Became Legible,""  's new piece in BodyandSociety",[5003065]
70,"Is it possible to read the mind, could authorities in the criminal justice system or the security services? Yes",[5003065]
71,Reading the Human Brain How the Mind Became Legible,[5003065]
72,"From the excellent   ""Reading the Human Brain How the Mind Became Legible neuro",[5003065]
73,Article available here  openaccess,[5003065]
74,"Teen Dating Violence, Sexual Harassment, and Bullying Among Middle School Youth Examining Measurement Invarian",[5016739]
75,"Teen Dating Violence, Sexual Harassment, and Bullying Among Middle School Youth Examining",[5016739]
76,Effect of Trajectories of Friends' and Parents' School Involvement on Teens' Engagement and Achievement HT,[5016943]
77,"Interesting paper by Gavin Smith on surveillance, data and embodiment and the work of being watched",[5024110]
78,"Surveillance, Data and Embodiment On the Work of Being Watched research",[5024110]
79,"Direct link, I find that Aussie universities are underrated -- Surveillance, Data and Embodiment via",[5024110]
80,"Surveillance, Data and Embodiment On the Work of Being Watched policestate surveillance panopticon",[5024110]
81,"Surveillance, Data and Embodiment On the Work of Being Watched by",[5024110]
82,"oops, here's right link",[5024110]
83,"Surveillance, Data and Embodiment On the Work of BeingWatched via",[5024110]
84,"Just published new essay looking at the relationship between surveillance, data and embodiment Check it out",[5024110]
85,"Surveillance, Data, and Embodiment On the Work of Being Watched",[5024110]
86,"Great article - Surveillance, Data and Embodiment On the Work of Being Watched Gavin JD Smith, 2016 -",[5024110]
87,"Lovely, brilliant read -  Surveillance, Data and Embodiment On the Work of Being Watched Gavin J D Smith, 2016 -",[5024110]
88,Performance fatigue as result of sustaining our data proxies - perpetually contactable and on virtual display - ,[5024110]
89,"The impact of managing the data and signals that leak from our bodies - Smith, 2016 -   ",[5024110]
90,Nourishing our parasitic data-proxies to maintain our digital reputations and identities I am what I post,[5024110]
91,"Worth reading ""Surveillance, Data and Embodiment On the Work of Being Watched"" by   paywalled",[5024110]
92,"Worth reading ""Surveillance, Data and Embodiment On the Work of Being Watched"" by",[5024110]
93,On the Work of Being Watched todays bodies are akin to walking sensor platforms cc,[5024110]
94,"Surveillance, Data and Embodiment On the Work of Being Watched",[5024110]
95,"Bodies either host, or are the subjects of, an array of sensing devices",[5024110]
96,On the Work of Being Watched todays bodies are akin to walking sensor platforms cc  ,[5024110]
97,"Surveillance, Data and Embodiment On the Work of Being Watched Todays bodies are akin to  bodyandsociety",[5024110]
98,"Surveillance, Data and Embodiment On the Work of Being Watched some v interesting social theory in this new article",[5024110]
99,"Surveillance, Data and Embodiment On the Work of Being Watched some v interesting social theor",[5024110]
100,"Managing a virtual presence is analogous to a work relation, demanding diligence and investment",[5024110]
101,A paper exploring the meanings and consequences of data-driven living for understandings of embodiment body biopo,[5024110]
102,Well done  !! Great reading on the intersections of surveillance and the body,[5024110]
103,"""Todays bodies are akin to walking sensor platforms"" By",[5024110]
104,"""Todays bodies are akin to walking sensor platforms"" By   ",[5024110]
105,A paper exploring the meanings and consequences of data-driven living for understandings of embodiment,[5024110]
106,A paper exploring the meanings and consequences of data-driven living for understandings of embodiment body biopo htt,[5024110]
107,New papers's out 'Indigenous Australian transformational resistance as a driver of academic achievement' HigherEd,[5025595]
108,"'It becomes almost an act of defiance indigenous Australian transformational resistance as a,  ,",[5025595]
109,Predicting Well-Being and Internalizing Symptoms in Late Adolescence From Trajectories of Externalizing Behavio,[5026247]
110,Predicting Well-Being and Internalizing Symptoms in Late Adolescence From Trajectories of,[5026247]
111,Adverse externalizing trajectories across childhood predict later low wellbeing in 18year olds in low-risk families,[5026247]
112,Han drifters in Lhasa the ambivalent cultural politics of Tibetanness amidst Chinas geographies of modernity,[5069638]
113,Han Chinese drifters in Lhasa Junxi Qian and Hong Zhu debate the ambivalent cultural politics of Tibetanness,[5069638]
114,Context of First Same-Sex Condom Use and Nonuse in Young Black Gay and Bisexual Males -,[5069689]
