,body,cites_papers
0,"Reward-Modulated Response Inhibition, Cognitive Shifting, and the Orbital Frontal Cortex in Early Adolescence",[2680251]
1,Mothers Goals for Adolescents in the United States and China  Content and Transmission,[2751924]
2,PRI associates Susan McHale and David Almeida investigate the  association between adolescents' positive and,[2977312]
3,"Managing a virtual presence is analogous to a work relation, demanding diligence and  investment",[5024110]
4,Review Symposium  Land's End  Response by Tania M  Li,[13733841]
5,"My article on Las Patronas collective, ""Respatializing the domestic,"" is now up  DM/email if you'd like to read",[13751442]
6,My article in Cultural Geographies on extensive domesticity+Mexican migration activism is now out  More soon,[13751442]
7,newarticle by Thomas Paul Henderson on statepeasant movement relations and   foodsovereignty in  Mexico and  Ecuador,[13794131]
8,New article at   by our colleague at   by Tom Henderson      A must-read for those interested in food sovereignty,[13794131]
9,New article at   by our colleague at   by Tom Henderson      A must-read for those interested in f,[13794131]
10,Statepeasant movement relations and the  politics of food sovereignty in  Mexico and  Ecuador,[13794131]
11,newarticle by Thomas Paul Henderson on statepeasant movement relations and   foodsovereignty in  Mexico and  Ecuador  h,[13794131]
12,FREEACCESS to Henderson's article on statepeasant movement relations and   foodsovereignty in  Mexico and  Ecuador  ,[13794131]
13,FREEACCESS to Henderson's article on statepeasant movement relations and   foodsovereignty in  Mexico and  Ecuador,[13794131]
14,A paper exploring the meanings and consequences of data-driven living for understandings of embodiment  body  biopo,[5024110]
15,FREEACCESS to Henderson's article on statepeasant movement relations and   foodsovereignty in  Mexico and  Ecuador  htt,[13794131]
16,Free download Journal of Peasant Studies,[13794131]
17,Statepeasant movement relations and the politics of food sovereignty in Mexico and Ecuador,[13794131]
18,Great article on state-peasant movement relations,[13794131]
19,FREEACCESS to the 'Dialogue on Food Regimes' collection has been extended! Read Philip McMichael's article here,[13888530]
20,"How does one  hope? SoGE's   suggest's ""a turn to  ambivalence and  melancholy"" in  culturalgeographies",[13925534]
21,"How does one  hope? SoGE's   suggest's ""a turn to  ambivalence and  melancholy"" in  culturalgeographies  ht",[13925534]
22,I have to get in on this autoethnography thing,[13925534]
23,Let's keep these kind of questions out of the next Geography Bee,[13925534]
24,Some positivity from a jolly good old Oxford researcher,[13925534]
25,Well done  !! Great reading on the intersections of surveillance and the body,[5024110]
26,'' - online first - Cultural Geographies    melancholy  hiraeth,[13925534]
27,"Now out in print  Praise includes, ""this is the first one that made me laugh without simultaneously feeling disgust""",[13925534]
28,"RESEARCH  Disabilities, urban natures and childrens outdoor play - John Horton  outdoorplay  SEND  inclusion",[13936691]
29,"'  disabled children, often experience outdoor/natural play as a site of hard work, heartache, dread, resignation and inadequacy'",[13936691]
30,"RESEARCH  Disabilities, urban natures and childrens outdoor play - John Horton      by  BECERAssoc via",[13936691]
31,"'  disabled children, often experience outdoor/natural play as a site of hard work, heartache, dread, resignation and in",[13936691]
32,"RESEARCH  Disabilities, urban natures and childrens outdoor play - John Horton  outdoorplay  SEND",[13936691]
33,Our new paper in JCCP on the role of Need for Closure and authoritarianism in responses to culture fusion,[14047929]
34,Another interesting review of Cultural Neuroscience by two of the leaders in the field,[14081993]
35,The State of Food Sovereignty i    preview and  related info   Mendeley,[14103761]
36,A paper exploring the meanings and consequences of data-driven living for understandings of embodiment,[5024110]
37,"SoGE's   reviews 'Humans, Animals and Biopolitics  The More-than-Human Condition'   culturalgeographies",[14132514]
38,"SoGE's   reviews 'Humans, Animals and Biopolitics  The More-than-Human Condition'   culturalgeographies ",[14132514]
39,"Very nice review of Humans, animals and biopolitics  The-more-than-human condition  Routledge  in",[14132514]
40,My new review of Kozol's Distant wars visible  the ambivalence of witnessing,[14154542]
41,"This is an important recent article by Shirley Martin and  colleagues, has recent lit too",[14188448]
42,New article  Advocacy and surveillance  primary schools teachers relationships w/ asylum-seeking mothers in Ireland ,[14188448]
43,"We go back to the land  processes of re-peasantisation in Araponga, Brazil'  Online now in",[14294517]
44,"We go back to the land  processes of re-peasantisation in Araponga, Brazil'  Online now in   ",[14294517]
45,"newarticle by van den Berg et al  on processes of  repeasantisation in  Araponga,  Brazil  Read it here",[14294517]
46,Passionate Experiences in Adolescence  Situational Variability and Long-Term Stability,[14416567]
47,A paper exploring the meanings and consequences of data-driven living for understandings of embodiment  body  biopo htt,[5024110]
48,"New review of pastoral nomadism, although can we really dichotomize sedentary farming and nomadic pastoralism",[14470836]
49,New from Professor William Honeychurch  ,[14470836]
50,Jennifer Clapp's latest on the trade-ification of the  food  sustainability agenda in   out now,[14518982]
51,"Another important contribution by Jennifer Clapp  ""the Tradification of the Food Security Agenda""",[14518982]
52,"  The Journal of Peasant Studies  Vol 0, No 0",[14518982]
53,newarticle by Jennifer Clapp on the trade-ification of the  food  sustainability agenda  Read it here,[14518982]
54,Cheng-2016-Educated non-elites pathways to cosmopolitanism  private degree students in Singapore - FREE E-Prints!,[14588912]
55,Check out   postdoc  's latest article on microcredit and  de marginalisation in  !,[14611541]
56,Our very own  's 'heretical' views on microcredit and  de marginalisation in China now in  !,[14611541]
57,New papers's out  'Indigenous Australian transformational resistance as a driver of academic achievement'  HigherEd,[5025595]
58,Check out   postdoc  's latest article on microcredit and  de marginalisation in  ! ,[14611541]
59,We need to talk about  microcredit,[14611541]
60,newarticle by   on  microcredit as  de marginalisation in rural  China,[14611541]
61,Indebted to development  microcredit as  de marginalisation in rural China,[14611541]
62,Our very own  's 'heretical' views on microcredit and  de marginalisation in China now in  ! ,[14611541]
63,New article out   on  skill  practice and   craft  production,[14612972]
64,New article out   on  skill  practice and   craft  production   ,[14612972]
65,Should research that has far-reaching implications for a country's politics be protected behind a journal's paywall?,[14618765]
66,newarticle by Beban and  Gorman on  accumulation and  environmental change on the  Cambodia Vietnam border,[14618765]
67,"'It becomes almost an act of defiance  indigenous Australian transformational resistance as a   ,  ,",[5025595]
68,Summary article of Frances Henry et al's 4 year examination of race and equity in Canadian Universities   pse,[14836629]
69,Summary article of Frances Henry et al's 4 year examination of race and equity in Canadian Universities    cdnpse,[14836629]
70,This looks like a must-read  as soon as I'm at work with access to the journal,[14836629]
71,New pub w/ Henry Kobayashi   etal  Race racialization and  Indigeneity in CDN universities  cdnpse  highered,[14836629]
72,"Haven't read yet, but looks v important  H/T Val Johnson! Race, racialization and  Indigeneity in Canadian universities",[14836629]
73,"New  """"  Race Ethnicity and Education  De 2016   cdnpse",[14836629]
74,"New  """"  Race Ethnicity and Education  De 2016   cdnpse ",[14836629]
75,UBC folks can access this journal via library  The UBCFA is sponsoring a conference on related issues co-org with Prof  Sunera Thobani,[14836629]
76,UBC folks can access this journal via library  The UBCFA is sponsoring a conference on related issues co-org with Prof ,[14836629]
77,   highered  cdnpse  race  Indigenous,[14836629]
78,Predicting Well-Being and Internalizing Symptoms in Late Adolescence From Trajectories of Externalizing Behavio,[5026247]
79,Indigeneity in Canadian Universities--a new article,[14836629]
80,  Race Ethnicity and Education  via,[14836629]
81,"Apoligies, Link here",[14845923]
82,"newarticle by Nyantakyi-Frimpong and    on  landgrabbing,  migration and   foodsecurity in  Ghana",[14845923]
83,"newarticle by Jefferson Fox on community  forestry, labor migration and  agrarianchange in  Nepal",[14850513]
84,SAGEpsychology ,[14859489]
85,Predicting Well-Being and Internalizing Symptoms in Late Adolescence From Trajectories of,[5026247]
86,NEW PUBLICATION NOTICE  What style of leadership is best suited to direct organizational change?,[14867005]
87,"Check it out! Forthcoming in Race, Ethnicity, and  Education",[14867005]
88,That escalated quickly,[14894021]
89,"It's like Plato, but with brain damage",[14894021]
90,Interesting national identity isn't associated w/ lower multiculturalism support in non-Western countries  WVS data,[14896339]
91,negative association between national identity and  diversity attitudes found only in Western societies,[14896339]
92,The WVS data indicates national identity negatively predicts diversity attitudes only in West,[14896339]
93,My new piece on urban exploration and   Georgesperec just out and free to download,[14902196]
94,Richard Phillips revives the experimental fieldwork of Georges Perec,[14902196]
95,News from the Experimental Geography Studio,[14902196]
96,Adverse externalizing trajectories across childhood predict later low wellbeing in 18year olds in low-risk families,[5026247]
97,"Georges Perecs experimental fieldwork New article by Richard Phillips for artists, writers, activists, enthusiasts, students and  researchers",[14902196]
98,"Georges Perecs experimental fieldwork New article by Richard Phillips for artists, writers, activists, enthusiasts, s",[14902196]
99,Richard Phillips's article on Georges Perec's experimental fieldwork - with a bit of Hidden City too,[14902196]
100,How Does Framing Strategy Affect Evaluation of Culturally Mixed Products? The SelfOther Asymmetry Effect,[14908096]
101,SAGEpsychology How Does Framing Strategy Affect Evaluation of Culturally Mixed Products? The SelfOther Asymmet,[14908096]
102,newarticle by Cramb et al  on  smallholder inclusion in  agricultural commodity chains in  SoutheastAsia,[14945228]
103,Read new research from   on 'Alternatives to land grabbing',[14945228]
104,Smallholder inclusion in  agricultural commodity chains in  SoutheastAsia,[14945228]
105,Smallholder inclusion in  agricultural commodity chains in  SoutheastAsia   ,[14945228]
106,This is right up there with witches throwing magic lightning bolts!,[15086434]
107,study  Experiences With Parents and Youth Physical Health Symptoms and Cortisol  A Daily Diary Investigation,[2977312]
108,Han drifters in Lhasa  the ambivalent cultural politics of Tibetanness amidst Chinas geographies of modernity,[5069638]
109,Supernatural bollocks then,[15086434]
110,"""Reflecting on ghostly presences in field research""",[15086434]
111,Our paper on dog walking now available,[15168642]
112,Just walking? Check out my new article on dog walking with   in Social and  Cultural Geography,[15168642]
113,Why not start the working week by reading our paper on  walking and  animal geographies,[15168642]
114,Get an e-print of our paper 'Just a walk with the dog  Animal geographies and  negotiating walking space',[15168642]
115,Note to self  read this,[15168642]
116,'walking is more than just walking'   discussed here,[15168642]
117,"The Repository record for this new study is available here, under embargo",[15168642]
118,My piece on dog walking with   on   has over 10k reads  Read full version here,[15168642]
