,body,cites_papers
0,"Washing men's feet gender, care and migration in Albania during and after communism",[3798508]
1,"Washing men's feet gender, care and migration in Albania during and after communism, J Vullnetari and R King",[3798508]
2,"Study The ""New Father"" and marked changes in perceptions of men's parenting roles over time",[3831803]
3,"""Mothers and fathers were viewed as becoming more alike from the past to the present and continuing into the",[3831803]
4,"""Mothers and fathers were viewed as becoming more alike from the past to the present and continuing into the",[3831803]
5,Modern and future dads are perceived as much more 'maternal' in personality and behavior than 1950's dads masculinity,[3831803]
6,Modern and future dads are perceived as much more 'maternal' in personality and behavior than 1950's dads masculinity,[3831803]
7,Modern and future dads are perceived as much more 'maternal' in personality and behavior than 1950's dads masculinity,[3831803]
8,Modern and future dads are perceived as much more 'maternal' in personality and behavior than 1950's dads masculinity,[3831803]
9,RT   Fathers viewed as becoming increasingly maternal in their parenting roles and traits,[3831803]
10,New on  Where Women Rebel,[3859732]
11,"My IFJP article ""Where Women Rebel""--now ungated through April 2016",[3859732]
12,"My IFJP article ""Where Women Rebel""--now ungated through April 2016",[3859732]
13,"My IFJP article ""Where Women Rebel""--now ungated through April 2016",[3859732]
14,"My IFJP article ""Where Women Rebel""--now ungated through April 2016",[3859732]
15,"My new article in IFJP is live! It's also soon-to-be-ungated So if you don't have access now, you will soon",[3859732]
16,Compare the NYT profile with my findings here Women's involvement with IS is very much in line with global trends,[3859732]
17,An understudied topic new study on Sexual Harassment Against Men,[3928626]
18,An understudied topic new study on Sexual Harassment Against Men,[3928626]
19,An understudied topic new study on Sexual Harassment Against Men,[3928626]
20,An understudied topic new study on Sexual Harassment Against Men,[3928626]
21,Punished for feminism? Men who do feminist activism are subjected to more sexual harassment in the workplace,[3928626]
22,Punished for feminism? Men who do feminist activism are subjected to more sexual harassment in the workplace,[3928626]
23,Punished for feminism? Men who do feminist activism are subjected to more sexual harassment in the workplace,[3928626]
24,An understudied topic new study on Sexual Harassment Against Men,[3928626]
25,An understudied topic new study on Sexual Harassment Against Men,[3928626]
26,An understudied topic new study on Sexual Harassment Against Men,[3928626]
27,"New workplace sexual harassment of men ""punishment for men who deviate fm prescriptions of traditional masculinity""",[3928626]
28,Link to study SexualHarassment,[3928626]
29,RT   Link to study SexualHarassment,[3928626]
30,RT   Link to study SexualHarassment,[3928626]
31,RT   Link to study SexualHarassment,[3928626]
32,RT   Men are sexually harassed by women in the workplace too sexualharassment,[3928626]
33,RT   Study Both hetero and homosexual men reported similar levels of sexual harassment by women,[3928626]
34,How do young people 'do' gender and safety on a night out? New ARCSHS research by,[4644935]
35,RT   How do young people 'do' gender and safety on a night out? New ARCSHS research by,[4644935]
36,Does the Motherhood WagePenalty Differ by Individual Skill and Country FamilyPolicy? Europe,[4737506]
37,Does the Motherhood Wage Penalty Differ by Individual Skill and Country Family Policy? A Longitudinal Study of Ten,[4737506]
38,RT   Does the Motherhood Wage Penalty Differ by Individual Skill and Country Family Policy? A Longitudinal Study of Ten,[4737506]
39,Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
40,Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
41,RT   Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
42,RT   Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
43,RT   Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
44,RT   Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
45,RT   Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
46,RT   Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise,[4949436]
47,Differences in confidence in expertise and discomfort with editing partly explain gender gap in Wikipedia contribution,[4949436]
48,RT   Differences in confidence in expertise and discomfort with editing partly explain gender gap in Wikipedia contribution ht,[4949436]
49,New publication  springerlink,[4949436]
50,confidence in expertise and discomfort with editing linked to a smaller number of womenvs men writing in wikipedia,[4949436]
51,Understanding the Different Psychological Experiences of Men and Women in Wikipedia,[4949436]
52,Where are the women in Wikipedia? Understanding the different psychological experiences gender wikipedia,[4949436]
53,3 Compare this open access,[4949436]
54,"If you require highered students to edit Wikipedia, are the men or women more likely to benefit?  ITTSII16",[4949436]
55,"Effects of diversity costs of affirmative action not fully accounted for  ""Case study""","[6156712,4949436]"
56,Only 13% of Wikipedia contributors are women Pathetic women?  Try the adjusted wage gap,[4949436]
57,That's pretty interesting Cf Wikipedia entries,[4949436]
58,"Incidentally, Wiki-women",[4949436]
59,Compare,[4949436]
60,1 Go thru bar on the right,[4949436]
61,"- Consider ""Wikipedia entrepreneurship"", easy ""market"" access, no funding problems","[4538619,4949436]"
62,2 Applies to comedy,[4949436]
63,"Here, build sth w/ these four","[4538619,1093697,4949436]"
64,2 These two provide further perspective,[4949436]
65,2 Or just absorve how it works out when single men and women pursue preferences and compete,[4949436]
66,4 Read on,"[4538619,1093697,4949436,3085925]"
67,1 Why did other professions fail at that? Also compare this,[4949436]
68,"Using the Dual Control Model to Study the Rel'p b/w Mood, Genital   Self-Reported Sexual Arousal in Men and Women",[4956008]
69,"RT   Using the Dual Control Model to Study the Rel'p b/w Mood, Genital   Self-Reported Sexual Arousal in Men and Women htt",[4956008]
70,Feeling vigorous X being prone to sexual excitement predicts genital arousal in women and subjective arousal in men,[4956008]
71,"For gays in China, effect found for left-handedness but not fraternal birth order-small  of siblings to blame?",[4956476]
72,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population a LGBT LGBTQ queer",[4956476]
73,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population a LGBT LGBTQ queer",[4956476]
74,"RT   Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population a LGBT LGBTQ",[4956476]
75,"RT   Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population a LGBT LGBTQ",[4956476]
76,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population a LGBT LGBTQ queer",[4956476]
77,"""proportion of women n scientific field = more similar stereotypes of scientists n field were to those about women""",[4966609]
78,On the similarity between stereotypes about women / men and stereotypes about successful scientists womeninscience,[4966609]
