,body,cites_papers
0,"Washing men's feet  gender, care and migration in Albania during and after communism",[3798508]
1,"Washing men's feet  gender, care and migration in Albania during and  after communism, J  Vullnetari and  R  King",[3798508]
2,Punished for  feminism? Men who do feminist activism are subjected to more sexual  harassment in the workplace,[3928626]
3,"""Gay men are shorter, on average, than straight men"" in Canada  But no height differences in lesbians",[5048680]
4,,[7114747]
5,briandavidearp  A Qualitative Exploration of Factors That Affect Sexual Desire Among Men Aged 30 to 65 in Long-Ter,[7114747]
6, ,[7114747]
7,MT    What turns on men in LTRs? Feeling desired  novelty  communication,[7114747]
8,Factors That Affect Sexual Desire among Men Aged 30 - 65 in Long-Term Relationships  a  HT,[7114747]
9,Surprise! Men are not cold-hearted machines  They have feelings and desire emotional connection just like women,[7114747]
10,Sexuality professionals have always known male sexual desire is certainly more complex than the media and society perceive it,[7114747]
11,Mens sexual desire may be more complex and relational than previous research suggests,[7114747]
12,Surprise! Men are not cold-hearted machines  They have feelings and desire emotional connection just like women  ,[7114747]
13,"First first-author paper! Not a math/stat journal, but it's a start!  kidsandsex",[7115624]
14,Gay men shorter on average than straight men  no height difference btwn lesbian/bisexual v  straight women,[5048680]
15,,[7115624]
16,"19% of Latino and  Black 9th graders report vaginal sex  16%  OralSex, 6%  AnalSex  neither delays or subs 4 vaginal",[7115624]
17,Journal of Sex Research investigates patterns of sexual behavior in Latino and  African American 9th graders,[7115624]
18,SexSciSociety    kinseyinstitute  Journal of Sex Research investigates patterns of sexual behavior in Latino and ,[7115624]
19,nRICHd_Pursuits    SexSciSociety    kinseyinstitute  Journal of Sex Research investigates patterns of sexual ,[7115624]
20,'Jimmy cap before you tap'  developing condom use messages for African-American women,[7135168]
21,I liked this article on  sexualhealth communication as it acknowledges that broad-brush approaches do not work,[7135168]
22,Interviews w/ Black women find  CondomUse is disliked by partners and  associated more w pregnancy  vs HIV  prevention,[7135168]
23,Jimmy Cap Before You Tap  Developing Condom Use Messages for African American Women  a  HT,[7135168]
24,Jimmy Cap Before You Tap  Developing Condom Use Messages for African American Women  a  HT  ,[7135168]
25,Study finds gay men to be shorter on average than straight men   scratcheshead,[5048680]
26,"Morning!  Hot off the press, my new article in Politics and  Gender on intersectionality and US election campaigns",[7136436]
27,"Seeing Double  Race, Gender, and Coverage of Minority Women's Campaigns for the U S  House of",[7136436]
28,"Same party list position does not guarantee the same media coverage for men and women, with   now out  ",[7139322]
29,Invisible Women? by   and,[7139322]
30,Politics and  Gender - Invisible Women? Comparing Candidates News Coverage in Europe,[7139322]
31,"Same party list position does not guarantee the same media coverage for men and women, with   now out",[7139322]
32,1/2 New from   and    Media coverage male and  female candidates,[7139322]
33,1/2 New from   and    Media coverage male and  female candidates ,[7139322]
34,"ICD_CSW Even highly prominentand competitive candidates, media bias remains in EU25,reflects parties preselection",[7139322]
35,"ICD_CSW Study reports that ""Motherhood penalty"" does not apply in  WomenInPolitics  social media use",[7139322]
36,Is sexual orientation related to how tall or short one is?  psychology  sexuality,[5048680]
37,Masturbation Experiences of Swedish Senior High School Students  Gender Differences and  Similarities,[7160231]
38,Masturbation Experiences of Swedish Senior High School Students  Gender Differences and  Similarities   ht,[7160231]
39,STUDY   Masturbation Experiences of Swedish Senior High School Students  Gender Differences and Similarities  SXRS,[7160231]
40,"Even in gender-equal Sweden, young men masturbate more than women, but many men and  women report similar experiences",[7160231]
41,Gender differences in  masturbation  and  orgasm!  experiences  1st graph women  2nd graph men,[7160231]
42,Masturbation Experiences of Swedish Senior High School Students  Gender Differences and  Similarities  a  HT,[7160231]
43,Masturbation Experiences of Swedish Senior High School Students  Gender Differences and  Similarities  a,[7160231]
44,Stephanie Miedema -- an  EmorySociology grad student -- has a new article in Gender and  Society  Check it out!,[7340942]
45,"Social inequalities, empowerment, and  womens transitions into abusive marriages  a case study from Myanmar",[7340942]
46,women and abusive marriages  a case study from  Myanmar    StopVAW,[7340942]
47,"Another one  androphilic men and women are shorter than gynephilic men and women, respectively",[5048680]
48,"Social Inequalities, Empowerment, and Womens Transitions into Abusive Marriages  A Case Study      gendersociety",[7340942]
49,"""These Critics  Still  Dont Write Enough about Women Artists""  Gender Inequality in the Newspa     gendersociety",[7353064]
50,  gendersociety,[7353065]
51,"The division of child care, sexual intimacy, and relationship quality in couples",[7353065]
52,Equal division of child care in hetero cpls linked 2 higher quality rltnshps and  more satisfying  SexLife 4 both sexes,[7353065]
53,"Men benefit from doing childcare, but it also improves rel quality and intimacy compared to mom's doing it all",[7353065]
54,"Men benefit from doing childcare, but it also improves rel quality and intimacy compared to mom's doing it all ",[7353065]
55,Neuro_Skeptic  Influence of menstrual cycle phase on resting-state functional connectivity,[7360918]
56,Influence of menstrual cycle phase on resting-state functional connectivity,[7360918]
57,Closer steps toward understanding influence of menstrual cycle on smoking cessation in women   bsd,[7360918]
58,Partner Meeting Contexts and Risky Behavior in College Students Other-Sex and Same-Sex Hookups,[5053113]
59,"Influence of menstrual cycle phase on resting-state functional connectivity in naturally cycling, cigarette     bsd",[7360918]
60,Research   Influence of menstrual cycle phase on cigarette-dependent women,[7360918]
61,"Influence of menstrual cycle phase on resting-state functional connectivity in cycling, cigarette-dependent women",[7360918]
62,"Girls- want to quit smoking? Start the week before your period, your resolve is stronger!",[7360918]
63,"MenstrualCycle influence on resting-state functional connectivity in naturally cycling, cigarette-dependent women",[7360918]
64,"Young women more likely to endorse same-gender attraction, but men reach sexual orientation milestones earlier",[7562875]
65,Endorsement and  Timing of Sexual Orientation Developmental Milestones  Sexual Minority Young Adults  a  HT,[7562875]
66,Endorsement and  Timing of Sexual Orientation Developmental Milestones  Sexual Minority Young Adults  a,[7562875]
67,"It's good to see research on this important and  under-studied topic  Onset of sexual feelings, behaviour and  identity",[7562875]
68,Endorsement and  Timing of Sexual Orientation Developmental Milestones  Sexual Minority Young Adults,[7562875]
69,Partner Meeting Contexts and Risky Behavior in College Students Other-Sex and Same-Sex Hookups via,[5053113]
70,"We just published  ""Still Second Class  Sexual Harassment of Graduate Students""   institutionalbetrayal  AND",[7583185]
71,The journal we published in is respected peer-reviewed   institutionalbetrayal AND,[7583185]
72,New study on sexual harassment of women grad students by UO psychologist Jennifer Freyd and her collaborators,[7583185]
