,body,cites_papers
0,"""In-situ spatio-temporal measurements of the detailed azimuthal substructure    "" by   et al",[2094918]
1,"6$ for a 48h checkout of an article, restricted to a proprietary system    I guess that's supposed to be a bargain?",[2950824]
2,Oceanography JGR  Variational data assimilative modeling of the Gulf of Maine in spring and summer 2010,[3929107]
3,Oceanography JGR  Mesoscale eddies and Trichodesmium spp  distributions in the southwestern North Atlantic,[3969372]
4,Interesting! Mesoscale eddies and Trichodesmium spp  in the SW North Atlantic   oceanography,[3969372]
5,"Interesting paper  Measuringand modeling lifetime of N2O including its variability, Prather et al",[4005670]
6,Siberia volcanology paper free download till 18Jan  -,[4063220]
7,-   Siberia volcanology/onset of eruptions  China flood basalts and water,"[4063220,4235613]"
8,The onset of flood volcanism in the north-western part of the Siberian Traps,[4063220]
9,The Basalt Pipes Of The Tunguska Basin  High Temp Processes and  Volatile Degassing Into The End-Permian Atmosphere  ,[4234292]
10,"Gas from many, large, violent Siberian pipe eruptions in end-Permian extinction",[4234292]
11,The basalt pipes of the Tunguska Basin  Siberia   volatile degassing into the end-Permian atmosphere,[4234292]
12,Flood basalty stuff in China  -,[4235613]
13,and to see why we were there check out   -,[4235613]
14,China volcanology/Wet LIP paper free download till Jan 18  -,[4235613]
15,"Submarine palaeoenvironments during Emeishan flood basalt volcanism, SW China",[4235613]
16,Paper is here,[4330888]
17,A Multi-disciplinary Perspective on Habitat Preferences among Dinosaurs in a Cretaceous Arctic Greenhouse World,[4330888]
18,"Multi-disciplinary Perspective on Habitat Preferences among Dinosaurs in Cretaceous Arctic Greenhouse World, Alaska",[4330888]
19,What were the habitat preferences of Arctic Cretaceous dinosaurs? New study!  msg me for pdf,[4330888]
20,"Habitat Preferences among Dinosaurs in a Cretaceous Arctic Greenhouse World, North Slope, Alaska  ",[4330888]
21,Calcareous nannofossils and  climate fluctuations and  sea surface circulation patterns at the end of Cretaceous era  ,[4367753]
22,Deccan related climate fluctuations not the cause of  KT nannoplankton extinction   KTImpactRecap Thibault and  Husson,[4367753]
23,Climatic fluctuations and sea-surface water circulation patterns at the end of the Cretaceous era,[4367753]
24,Warming + very rapid changes in sea-surface temps at end of the Cretaceous  Timing matches Deccan volcanism,[4367753]
25,Assessing pelagic palaeoenvironments using forams - a case study from late Campanian of the Austrian Alps  ,[4427019]
26,Do you like lava? You'll love these new giant lavas!,[4538609]
27,Free science to all! Enjoy until 18th Jan,[4538609]
28,High dependence of Ordovician ocean surface circulation on atmospheric CO2 levels  ,[4610404]
29,High dependence of Ordovician ocean surface circulation on atmospheric CO2 levels,[4610404]
30,Symbiotic Morphology in Trilobites Under Dysoxic and  Oxic Conditions from Cambrian to E  Ordovician Lagersttten  ,[4664145]
31,John and  Walker in press  Testing symbiotic morphology in Cambro-Ordovician trilobites under dysoxic and  oxic conditions,[4664145]
32,Testing symbiotic morphology in trilobites from Cambrian to Early Ordovician Lagersttten,[4664145]
33,"Ancient polar ecosystems and  paleoclimate in deep time  Evidence from past, implications for future  ",[4674175]
34,Natural attrition and  growth frequency variations of stalagmites in southwest Sulawesi over the past 530ka  ,[4683583]
35,From    Was atmospheric CO2 capped at 1000 ppm over the past 300 million years?  ucdresearch,[4732972]
36,"The Fezouata Shale  Lower Ordovician, Anti-Atlas, Morocco   a historical review  ",[4748309]
37,"New paper  Lefebvre et al in press  The Fezouata Shale  Lower Ordovician, Anti-Atlas, Morocco   a historical review",[4748309]
38,"~ The Fezouata Shale  L  Ordovician, Anti-Atlas, Morocco   A historical review, from Palaeo",[4748309]
39,"~ The Fezouata Shale  L  Ordovician, Anti-Atlas, Morocco   A historical review, from Palaeo  ",[4748309]
40,"The Fezouata Shale  Lower Ordovician, Anti-Atlas, Morocco   A historical review",[4748309]
41,"Oceanic redox evolution across the end-Permian mass extinction at Shangsi, South China  ",[4752085]
42,Late Devonian FrasnianFamennian Event in S  China  ,[4752086]
43,"The Late Devonian FrasnianFamennian Event in South China  Patterns and causes of extinctions, sea level changes",[4752086]
44,New paper in PPP  Servais et al in press  The onset of the 'Ordovician Plankton Revolution' in the late Cambrian,[4762341]
45,When did plankton colonize water column and  did it have an impact on Ordovician Radiation? by Servais et al  Palaeo3,[4762341]
46,The onset of the Ordovician Plankton Revolution in the late Cambrian,[4762341]
47,New  my first!  paper on inshore turbid-zone reef growth  coralreef,[4787760]
48,New  Trotter et al in press  New conodont 18O records of Silurian climate change  implications for env  and  bioevents,[4817697]
49,Everything you ever wanted to know about the  Silurian,[4817697]
50,"Our review paper on Large Igneous Provinces and their effect on Carbon and Sulphur cycles  Free download, enjoy!",[4822021]
51,"Large Igneous Provinces, sulphur and carbon gasses paper Free download unitil Jan 18th  -",[4822021]
52,"Large Igneous Provinces, sulphur and carbon gasses paper Free download unitil Jan 18th  -   ",[4822021]
53,-  Sulphur/Carbon gases and LIPs,[4822021]
54,High-res SIMS O isotope conodont apatite analysis from S  China and  implications for end-Permian mass extinction  ,[4850963]
55,Pre-mass extinction animal body-size changes  evidence from PermianTriassic boundary brachiopods of S  China  ,[4850965]
56,New! Thomka et al in press  Taphonomy of cystoids from the Napoleon quarry of IN  L Silurian Massie Fm Lagersttte,[4864467]
57,Note  that's the Thomka et al 2016 paper on 'cystoid' taphonomy,[4864467]
58,A New Palaeoclimate Classification for Deep Time  ,[4865898]
59,A new paleoclimate classification for deep time,[4865898]
60,"Boreal peatland water table depth and  carbon accumulation during Holocene thermal maximum, Roman Warm Period, and  MCA",[4868340]
61,"Ontario Boreal peatland water table depth and  carbon accumulation during Holocene thermal maximum, Roman Warm Period",[4868340]
62,Also new  Sigurdsen and  Hammer in press  Body size trends in the Ordovician to earliest Silurian of the Oslo Region,[4869962]
63,Body size trends in the Ordovician to earliest Silurian of the Oslo Region  ,[4869962]
64,E  Devonian Palaeobiogeography of Eastern Australasia  ,[4877498]
65,"Generating multi-proxy Holocene palaeoenvironmental records from blanket peatlands  Blundell, AC, Holden     wrro",[4884752]
66,Generating multi-proxy Holocene palaeoenvironmental records from blanket peatlands,[4884752]
67,new   research demonstrates that blanket  peatlands can provide multi-proxy palaeorecords  Holocene,[4884752]
68,Our new paper is out on how you can get detailed historic info on past environments from digging into blanket peat,[4884752]
69,"Multi-proxy  Holocene palaeo env  records from blanket  peat  New paper by Ant Blundell,   +",[4884752]
70,New paper  faunal assemblage data as palaeoenvironmental indicator by   et al,[4917420]
71,Final version of our Foremost Formation microsite paper now online   paleontology  cdnsci,[4917420]
72,A vertebrate microsite from a marine-terrestrial transition in the Foremost Formation  Campanian,[4917420]
73,Final version of our Foremost Formation microsite paper now online   paleontology  cdnsci ,[4917420]
74,is the FIRST listed author on,[4917420]
75,Dendrochronology and  M  Miocene petrified oak  Modern counterparts and  interpretation  ,[4945546]
76,Wright et al  Dendrochronology of Miocene petrified oak  Modern counterparts and  interpretation,[4945546]
77,Wright et al  Dendrochronology of Miocene petrified oak  Modern counterparts and  interpretation  ,[4945546]
78,"""Dendrochronology and middle Miocene petrified oak  Modern counterparts and interpretation""",[4945546]
79,Dendrochronology and middle Miocene petrified oak  Modern counterparts and interpretation,[4945546]
80,"The spatial distribution of precipitation over the West Qinling region, China, AD 14702000",[4949241]
81,"In Spain, the summer wind is coming stronger than ever, while the winter wind blusters less and less",[4951240]
82,Publication - Trends on daily peak wind gusts in Spain and Portugal,[4951240]
83,"Trends of daily peak wind gusts in Spain and Portugal, 19612014   AGUpubs",[4951240]
84,"ICYMI  Trends of daily peak wind gusts in Spain and Portugal, 19612014  AGUpubs",[4951240]
85,"""Climate signals in 13C of wood lignin methoxyl groups from high elevation larch trees""",[4971352]
86,Evidence has been found that winds at high altitudes have an effect in space!  JGRspace  proud  excited,[4974715]
87,Zebra stripes= imprint of winds from  ionosphere on  radiationbelts according to new theory,[4974715]
88,My article with Roederer among the most accessed articles of  JGRSpace! it's good stuff  check it out,[4974715]
89,The zebra stripes  An effect of F region zonal plasma drifts,"[4974715,4974715]"
90,New paper out in  JQS  Ancient trees in subantarctic show strong SH  westerlies 20001000 years ago,[4977479]
91,Intensification of Southern Hemisphere westerly winds 20001000 years ago,[4977479]
92,Dingavis longimaxilla  new fossil bird named for 'father of Chinese geology' Wenjiang Ding,[4978753]
93,New Cretaceous euornithine Dingavis longimaxilla  I wonder if this is the same as Juehuaornis   birds  dinosaurs,[4978753]
94,New Cretaceous euornithine Dingavis longimaxilla  I wonder if this is the same as Juehuaornis   b,[4978753]
95,Dingavis longimaxilla  new fossil bird named for 'father of Chinese geology' Wenjiang Ding  ,[4978753]
96,"New ornithuromorph with an elongate rostrum from Jehol Biota, and  early evolution of rostralization in birds  ",[4978753]
97,FossilFriday New species Dingavis longimaxilla -early evolution of rostralization in birds,[4978753]
98,FossilFriday New species Dingavis longimaxilla -early evolution of rostralization in birds htt,[4978753]
99,New online  A new ornithuromorph  Aves  with an elongate rostrum from the Jehol Biota,[4978753]
100,"A new ornithuromorph  Aves  with an elongate rostrum from the Jehol Biota, and the early evolution of rostralization",[4978753]
101,New enantiornithine Linyiornis amoena   birds  dinosaurs,[4980643]
102,"New 3D Jehol bird with egg follicles  Linyiornis amoena, 'beautiful bird from Linyi'  China",[4980643]
103,A new Jehol enantiornithine bird with 3D preservation and  ovarian follicles    - v,[4980643]
104,"New 3D Jehol bird with egg follicles  Linyiornis amoena, 'beautiful bird from Linyi'  China ",[4980643]
105,A new  Jehol  enantiornithine  bird with three-dimensional preservation and ovarian follicles,[4980643]
106,A new Jehol enantiornithine bird with three-dimensional preservation and ovarian follicles,[4980643]
107,"Amazing research    by Currie and  colleagues of  ! Also check out the new   in Wembley, Alberta","[4980975,4980975]"
108,Such anticipation  Much satisfaction  So Chasmosaurus,[4980975]
109,Juvenile chasmosaur paper is out in JVP  Great specimen!,[4980975]
110,Baby Chasmosaurus now out in JVP - what a fossil! A huge leap forward in our understanding of dino ontogeny,[4980975]
111,"Paper about the new baby Chasmosaurs, revealing horned dinosaur growth has been published in JVP",[4980975]
112,Amazing research    by Currie and  colleagues of  ! Also check out the new   in,[4980975]
