_id,body,cites_papers
59874143,"‘Washing men's feet’: gender, care and migration in Albania during and after communism : http://t.co/a4BnorP48A","[{""$numberLong"":""3798508""}]"
89609950,"‘Washing men's feet’: gender, care and migration in Albania during &amp; after communism, J. Vullnetari &amp; R. King https://t.co/gTPhhNoZZu","[{""$numberLong"":""3798508""}]"
60646552,"Study: The ""New Father"" and marked changes in perceptions of men's parenting roles over time http://t.co/5TsCubBxJc","[{""$numberLong"":""3831803""}]"
60646946,"""Mothers and fathers were viewed as becoming more alike from the past to the present and continuing into the... http://t.co/kxjlMjA6JN","[{""$numberLong"":""3831803""}]"
60646994,"""Mothers and fathers were viewed as becoming more alike from the past to the present and continuing into the... http://t.co/j8ld0edB6q","[{""$numberLong"":""3831803""}]"
61536372,Modern &amp; future dads are perceived as much more 'maternal' in personality &amp; behavior than 1950's dads. http://t.co/BvfZBEyXKN #masculinity,"[{""$numberLong"":""3831803""}]"
61536691,Modern &amp; future dads are perceived as much more 'maternal' in personality &amp; behavior than 1950's dads. http://t.co/BvfZBEyXKN #masculinity,"[{""$numberLong"":""3831803""}]"
61645950,Modern &amp; future dads are perceived as much more 'maternal' in personality &amp; behavior than 1950's dads. http://t.co/BvfZBEyXKN #masculinity,"[{""$numberLong"":""3831803""}]"
61647427,Modern &amp; future dads are perceived as much more 'maternal' in personality &amp; behavior than 1950's dads. http://t.co/BvfZBEyXKN #masculinity,"[{""$numberLong"":""3831803""}]"
97050642,RT @drbrandon: Fathers viewed as becoming increasingly maternal in their #parenting roles &amp; traits. https://t.co/1ISMW1K0UY https://t.co/VZ…,"[{""$numberLong"":""3831803""}]"
61509036,New on http://t.co/8pxKdRDxAR | Where Women Rebel | http://t.co/K80w6dj3ci,"[{""$numberLong"":""3859732""}]"
62444832,"My IFJP article ""Where Women Rebel""--now ungated through April 2016. http://t.co/vVABzTRJYC","[{""$numberLong"":""3859732""}]"
62539917,"My IFJP article ""Where Women Rebel""--now ungated through April 2016. http://t.co/vVABzTRJYC","[{""$numberLong"":""3859732""}]"
62540365,"My IFJP article ""Where Women Rebel""--now ungated through April 2016. http://t.co/vVABzTRJYC","[{""$numberLong"":""3859732""}]"
62543554,"My IFJP article ""Where Women Rebel""--now ungated through April 2016. http://t.co/vVABzTRJYC","[{""$numberLong"":""3859732""}]"
62370624,"My new article in IFJP is live! It's also soon-to-be-ungated. So if you don't have access now, you will soon. http://t.co/N25B6JpfFL","[{""$numberLong"":""3859732""}]"
86533303,Compare the NYT profile with my findings here. Women's involvement with IS is very much in line with global trends. https://t.co/vVABzTA8A2,"[{""$numberLong"":""3859732""}]"
63777889,An understudied topic: new study on Sexual Harassment Against Men http://t.co/XCAxVizbnn,"[{""$numberLong"":""3928626""}]"
63611241,An understudied topic: new study on Sexual Harassment Against Men http://t.co/XCAxVizbnn,"[{""$numberLong"":""3928626""}]"
63848486,An understudied topic: new study on Sexual Harassment Against Men http://t.co/XCAxVizbnn,"[{""$numberLong"":""3928626""}]"
63849037,An understudied topic: new study on Sexual Harassment Against Men http://t.co/XCAxVizbnn,"[{""$numberLong"":""3928626""}]"
64570605,Punished for #feminism? Men who do feminist activism are subjected to more sexual #harassment in the workplace. http://t.co/xulK9SezhM,"[{""$numberLong"":""3928626""}]"
64599590,Punished for #feminism? Men who do feminist activism are subjected to more sexual #harassment in the workplace. http://t.co/xulK9SezhM,"[{""$numberLong"":""3928626""}]"
65437395,Punished for #feminism? Men who do feminist activism are subjected to more sexual #harassment in the workplace. http://t.co/xulK9SezhM,"[{""$numberLong"":""3928626""}]"
68301622,An understudied topic: new study on Sexual Harassment Against Men http://t.co/XCAxVizbnn,"[{""$numberLong"":""3928626""}]"
63612624,An understudied topic: new study on Sexual Harassment Against Men http://t.co/XCAxVizbnn,"[{""$numberLong"":""3928626""}]"
63781487,An understudied topic: new study on Sexual Harassment Against Men http://t.co/XCAxVizbnn,"[{""$numberLong"":""3928626""}]"
91295170,"New: workplace sexual harassment of men ""punishment for men who deviate fm prescriptions of traditional masculinity"" https://t.co/rAuEXDZtpu","[{""$numberLong"":""3928626""}]"
91484005,"Link to study: https://t.co/R1xdnMetEb
#SexualHarassment https://t.co/KhR5aJGlZ9","[{""$numberLong"":""3928626""}]"
91484952,"RT @DrZhana: Link to study: https://t.co/R1xdnMetEb
#SexualHarassment https://t.co/KhR5aJGlZ9","[{""$numberLong"":""3928626""}]"
91487077,"RT @DrZhana: Link to study: https://t.co/R1xdnMetEb
#SexualHarassment https://t.co/KhR5aJGlZ9","[{""$numberLong"":""3928626""}]"
91487895,"RT @DrZhana: Link to study: https://t.co/R1xdnMetEb
#SexualHarassment https://t.co/KhR5aJGlZ9","[{""$numberLong"":""3928626""}]"
97209865,RT @drbrandon: Men are sexually harassed by women in the workplace too. https://t.co/kC8uaYEoqG #sexualharassment https://t.co/6CU0uV4pD2,"[{""$numberLong"":""3928626""}]"
98268126,RT @drbrandon: Study: Both hetero &amp; homosexual men reported similar levels of sexual #harassment by women. https://t.co/4UohMDGLED,"[{""$numberLong"":""3928626""}]"
83499201,How do young people 'do' gender and safety on a night out? New #ARCSHS research by @snappyalligator http://t.co/Nsrx8OP4yQ,"[{""$numberLong"":""4644935""}]"
83521052,RT @LTU_Sex_Health: How do young people 'do' gender and safety on a night out? New #ARCSHS research by @snappyalligator http://t.co/Nsrx8OP…,"[{""$numberLong"":""4644935""}]"
85178129,מחקר חדש: גם מעונות יום במימון ממשלתי וגם חופשת לידה ארוכה בתשלום מפחיתים את הירידה בשכר של אמהות. https://t.co/73hGRLLnd7,"[{""$numberLong"":""4737506""}]"
85178976,RT @NadavPerez: מחקר חדש: גם מעונות יום במימון ממשלתי וגם חופשת לידה ארוכה בתשלום מפחיתים את הירידה בשכר של אמהות. https://t.co/73hGRLLnd7,"[{""$numberLong"":""4737506""}]"
85208418,RT @NadavPerez: מחקר חדש: גם מעונות יום במימון ממשלתי וגם חופשת לידה ארוכה בתשלום מפחיתים את הירידה בשכר של אמהות. https://t.co/73hGRLLnd7,"[{""$numberLong"":""4737506""}]"
85234284,Does the #Motherhood #WagePenalty Differ by Individual Skill and Country #FamilyPolicy? https://t.co/zTpTH4so2H #Europe,"[{""$numberLong"":""4737506""}]"
112925304,Does the Motherhood Wage Penalty Differ by Individual Skill and Country Family Policy? A Longitudinal Study of Ten… https://t.co/udalmrgjhz,"[{""$numberLong"":""4737506""}]"
112926132,RT @slattof: Does the Motherhood Wage Penalty Differ by Individual Skill and Country Family Policy? A Longitudinal Study of Ten… https://t.…,"[{""$numberLong"":""4737506""}]"
90054988,Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t.co/xT99BWHKqy,"[{""$numberLong"":""4949436""}]"
90055655,Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t.co/5dWbBKZJ7m,"[{""$numberLong"":""4949436""}]"
90060268,RT @DegenRolf: Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t…,"[{""$numberLong"":""4949436""}]"
90069237,RT @DegenRolf: Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t…,"[{""$numberLong"":""4949436""}]"
90081545,RT @DegenRolf: Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t…,"[{""$numberLong"":""4949436""}]"
90091804,RT @DegenRolf: Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t…,"[{""$numberLong"":""4949436""}]"
90101919,RT @DegenRolf: Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t…,"[{""$numberLong"":""4949436""}]"
90102023,RT @DegenRolf: Women contribute far less to Wikipedia because of discomfort with conflict and less confidence in their expertise. https://t…,"[{""$numberLong"":""4949436""}]"
90603161,Differences in confidence in expertise &amp; discomfort with editing partly explain gender gap in Wikipedia contribution https://t.co/uBGjpzvlG9,"[{""$numberLong"":""4949436""}]"
90607146,Immer wieder ärgerlich: Forschung über ein offenes Wissensprojekt hinter Bezahlschranken. https://t.co/TSu3r5kFAI #Wikipedia #Frauenanteil,"[{""$numberLong"":""4949436""}]"
90637394,RT @Research_Voice: Differences in confidence in expertise &amp; discomfort with editing partly explain gender gap in Wikipedia contribution ht…,"[{""$numberLong"":""4949436""}]"
90688581,New publication:  https://t.co/78xCiZuX28 #springerlink,"[{""$numberLong"":""4949436""}]"
90704682,RT @ak_text: Immer wieder ärgerlich: Forschung über ein offenes Wissensprojekt hinter Bezahlschranken. https://t.co/TSu3r5kFAI #Wikipedia #…,"[{""$numberLong"":""4949436""}]"
90704799,RT @ak_text: Immer wieder ärgerlich: Forschung über ein offenes Wissensprojekt hinter Bezahlschranken. https://t.co/TSu3r5kFAI #Wikipedia #…,"[{""$numberLong"":""4949436""}]"
96839203,confidence in expertise and discomfort with editing linked to a smaller number of women(vs men) writing in wikipedia https://t.co/w8nY2pk7Ic,"[{""$numberLong"":""4949436""}]"
97252557,@staeiou @natematias Understanding the Different Psychological Experiences of Men and Women in Wikipedia https://t.co/LPcfqf7Qkk,"[{""$numberLong"":""4949436""}]"
106818103,Where are the women in Wikipedia? Understanding the different psychological experiences https://t.co/7uHH5Y4KBP #gender #wikipedia,"[{""$numberLong"":""4949436""}]"
109219492,"@epicciuto @webmasterdave https://t.co/HrfhI5ruwu

https://t.co/nFa4L9AngY","[{""$numberLong"":""4949436""}]"
109416542,@alinelernerLLC 3 Compare this (open access): https://t.co/nFa4L9RY8w,"[{""$numberLong"":""4949436""}]"
109416555,@jennjacquelynm @clairlemon https://t.co/nFa4L9RY8w,"[{""$numberLong"":""4949436""}]"
110568511,"If you require #highered students to edit Wikipedia, are the men or women more likely to benefit? https://t.co/CRSgQTYeQp  #ITTSII16","[{""$numberLong"":""4949436""}]"
110685552,"Effects of diversity (costs of affirmative action not fully accounted for): https://t.co/0e5TyeAY7P

""Case study"":
https://t.co/nFa4L9AngY","[{""$numberLong"":""6156712""},{""$numberLong"":""4949436""}]"
118366094,"@TobiasDuenow @bilkayoeney Only 13% of Wikipedia contributors are women. Pathetic women? https://t.co/nFa4L9AngY

Try the adjusted wage gap.","[{""$numberLong"":""4949436""}]"
127361954,@EverydaySexism @shellkryan https://t.co/nFa4L9AngY ; https://t.co/qzoIIGUDNw ; https://t.co/BT5RHzaIjo,"[4538619,4949436]"
